"","Scenario","SLR","Rainfall","maxcontents","maxstructure","df10cm","bruun_factor","Av_ppl"
"53",53,0.92,-1.7,1261.04,7308,-0.06,13,2.1
"54",54,0.78,24.7,543.83,9488,0.03,66,2.5
"55",55,0.87,3.8,1614.16,7755,0.03,89,2
"56",56,0.39,19.9,1732.68,6034,0.02,52,2.5
"57",57,0.44,-4.6,2363.6,9940,0.01,85,2.8
"58",58,0.73,18.6,1826.36,9615,0.04,90,2.4
"59",59,0.91,19.8,1063.89,7805,0.07,69,2.4
"60",60,0.72,26.3,1719.95,9484,0.09,79,2.2
"61",61,0.02,25.6,2156.34,6270,-0.02,54,2.9
"62",62,0.23,1.6,933.45,9633,0.07,49,2.8
"63",63,0.61,5.8,1157.99,8731,0.09,13,2.7
"64",64,0.82,-4.6,847.85,5480,-0.09,81,2.9
"65",65,0.18,22.5,667.02,8480,0.02,95,2.4
"66",66,0.95,0.2,1715.75,5298,0.09,40,2.5
"67",67,0.24,-4.2,2459.32,5481,-0.04,67,2.3
"68",68,0.5,24.5,2243.21,6689,0.05,50,2.5
"69",69,0.83,25.4,1808.85,6015,0.02,18,2.4
"70",70,0.45,8.3,1156.99,6909,0.03,95,2.3
"71",71,0.92,-2.2,877.94,6706,-0.08,31,2.5
"72",72,0.34,23.1,1567.71,8948,0.06,20,2.3
"73",73,0.87,-0.5,1870.62,7594,0,85,2.3
"74",74,0.61,15,1199.01,4058,0.07,52,2.1
"75",75,0.25,22.1,1486.97,6399,-0.03,35,2.9
"76",76,0.26,-2.3,1874.71,9251,0.04,19,2.5
"77",77,0.45,28,2376.51,6027,-0.02,91,2.5
"78",78,0.67,-9,2229.77,7553,-0.04,24,2.7
"79",79,0.4,3.3,2286.35,4910,-0.02,62,2.7
"80",80,0.03,29.4,1103.54,9901,-0.03,100,2.6
"81",81,0.06,23.3,2355.2,8776,-0.06,40,2.4
"82",82,0.32,4.9,677.57,9520,0.05,67,2.4
"83",83,0.3,21.1,2007.71,8407,-0.1,33,2.6
"84",84,0.3,-5,1188.28,7603,0.06,90,2.5
"85",85,0.33,-3.3,1864.64,9354,-0.08,17,2.4
"86",86,0.69,14.7,1412.15,8668,-0.04,38,2.5
"87",87,0.91,7.9,638.61,5573,-0.07,94,2.9
"88",88,0.97,24,2032.95,6601,0.03,48,2.7
"89",89,0.95,-10,2012.04,7631,0.06,24,2
"90",90,0.03,7.9,1104.41,5423,-0.05,88,2.8
"91",91,0.82,25.3,1677.53,9202,0.06,60,2.1
"92",92,0.72,16,960.62,5839,0.07,35,2.7
"93",93,0.25,-2.2,2155.66,8466,0,33,2.3
"94",94,0.95,23,1559.26,4793,0,95,2
"95",95,0.85,-3.8,1848.84,6623,-0.04,83,2.5
"96",96,0.69,-9.6,1145.44,4822,0.08,83,2.4
"97",97,0.03,20.1,896.98,9139,-0.08,94,2.8
"98",98,0.94,17.9,1731.26,9150,0.08,34,2.2
"99",99,0.07,3.3,1082.54,7850,-0.01,79,2.7
"100",100,0.96,-8.7,1337.32,6241,-0.05,85,2.3
"101",101,0.07,23.2,1307.44,9869,-0.01,88,2
"102",102,0.16,27.6,1858.4,5738,0.04,14,2.2
"103",103,0.17,29.6,2385.02,7710,0.06,99,2.4
"104",104,0.37,29.2,2281.37,8655,-0.1,98,2.3
"105",105,0.11,-8.8,1948.52,4316,0.01,57,2.8
"106",106,0.83,-1.9,1998.3,7937,0.05,33,3
"107",107,0.63,25.9,1109.39,9474,-0.04,50,2
"108",108,0.2,3.6,1687.48,9780,-0.08,73,2.5
"109",109,0.92,7.3,1085.74,9748,0.04,89,2.6
"110",110,0.5,9.5,1530.9,8159,-0.09,48,2.5
"111",111,0.49,11.5,605.7,8252,0.09,41,3
"112",112,0.38,21.6,2252.53,5300,-0.07,57,2.7
"113",113,0.66,10.9,594.73,9257,-0.07,40,2.8
"114",114,0.65,1.6,805.23,6765,0.05,23,2.8
"115",115,0.24,-6.2,2227.21,6812,0.03,76,2.4
"116",116,0.96,5.5,637.94,7652,-0.06,78,2.3
"117",117,0.84,0,1197.56,9551,0.1,86,2.1
"118",118,0.86,-4.2,1260.74,9690,-0.03,27,2.1
"119",119,0.8,17,1342.22,7107,0.08,63,2.6
"120",120,0.92,-0.1,500.7,8344,-0.06,81,2.7
"121",121,0.34,26.3,2030.38,9170,0,85,2.6
"122",122,0.24,-1.1,674.42,4674,-0.04,91,3
"123",123,0.98,8.9,1997.72,5257,0.02,41,2.7
"124",124,0.45,3.2,1453.35,8672,0.01,17,2.8
"125",125,0.4,-9.8,1619.96,7025,-0.07,48,2.6
"126",126,0.73,11.1,1193.32,6284,0.01,87,2.7
"127",127,0.86,23.9,911.91,8379,0.07,64,2.5
"128",128,0.49,11.9,1142.02,7765,0.08,81,2
"129",129,0.5,15.2,2113.97,9826,-0.09,41,2.2
"130",130,0.18,8.4,1303.9,8313,0.07,14,2.1
"131",131,0.18,6.1,993.86,5344,0.06,10,2.7
"132",132,0.52,4.3,1147.42,9122,-0.02,16,2.5
"133",133,0.2,4.9,892.35,8130,-0.1,26,2.7
"134",134,0.03,8.5,1776.85,5521,-0.08,48,3
"135",135,0.37,21.5,955.86,9349,-0.08,43,2.5
"136",136,0.1,8.8,1931.64,9101,0.08,56,2.4
"137",137,0.61,-4.4,2190.4,8170,0.02,88,2.4
"138",138,0.24,26.1,805.95,6160,-0.03,53,2.7
"139",139,0.32,19.7,852.28,9543,0.06,64,2.8
"140",140,0.03,-5.4,1292.05,5858,-0.07,77,2.6
"141",141,0.71,19.6,1262.45,6655,0.02,45,2
"142",142,0.28,0.7,522.33,7827,0,15,2.8
"143",143,0.24,-5.8,2168.2,8085,0.05,69,2
"144",144,0.15,16.1,2107.42,6514,-0.08,37,2.7
"145",145,0.56,-1.6,1093.53,6157,0.02,14,2.8
"146",146,0.14,9.3,1654.8,7087,0.01,68,2.7
"147",147,0.29,22.5,1228.59,7057,0.04,14,2.1
"148",148,0.12,-5.7,2410.86,4982,0.06,77,2.4
"149",149,0.36,16.1,2018.58,8991,0.03,67,2.8
"150",150,0.02,25,1480.79,6809,0,34,2.6
"151",151,0.31,-6.6,2282.16,8295,-0.01,15,2.3
"152",152,0.2,11.2,575.87,7205,-0.08,49,2.9
"153",153,0.48,28.5,1258.53,9046,0.04,97,3
"154",154,0.48,7.9,2494.74,8739,-0.03,49,2.5
"155",155,0.49,16,1139.91,8540,0.01,35,2.2
"156",156,0.72,7.8,1105.32,7578,-0.04,75,2.7
"157",157,0.44,7.8,1410.64,8184,-0.09,41,2.7
"158",158,0.12,12.6,1323.11,4223,-0.05,93,2.3
"159",159,0.51,27.4,2335.56,8585,0.04,49,2.3
"160",160,0.42,25.6,1734.84,8559,0.02,57,2.6
"161",161,0.9,16.3,821.04,8818,0.09,87,2.2
"162",162,0.94,-2.3,1440.04,8978,0.04,87,2.5
"163",163,0.07,16.5,751.81,5740,-0.04,85,2.5
"164",164,0.82,-6.6,1777.6,9073,0.05,50,2.7
"165",165,0.86,-6.9,1375.82,6102,0.01,27,2.3
"166",166,0.62,-1.4,2487.67,8094,0.07,16,2.2
"167",167,0.69,26.7,2030.75,9984,-0.02,14,2.4
"168",168,0.82,12.3,1108.82,5008,0.08,77,2.2
"169",169,0.35,5.8,2099.59,8109,-0.05,80,2.9
"170",170,0.38,13.2,707.07,4498,0.04,43,2.3
"171",171,0.53,6.4,1906.08,4599,0.1,47,2.1
"172",172,0.71,25.3,1136.37,9860,0.01,49,2.3
"173",173,0.48,23.1,751.58,7624,0.01,94,2.5
"174",174,0.16,-1.4,1004.73,5195,0,59,3
"175",175,0.54,-7,765.28,4895,0.06,64,2
"176",176,0.04,3.5,1350.83,4430,0.05,13,2.3
"177",177,0.18,14.1,1352.32,5840,0.03,77,3
"178",178,0.09,-4.4,2379.83,9055,-0.01,75,2.4
"179",179,0.69,21.5,2027.25,6442,0.09,64,2.1
"180",180,0.71,10.7,725.37,9612,-0.03,40,2
"181",181,0.02,28.2,2443.06,7579,-0.03,71,2.5
"182",182,0.02,15.9,904.27,8469,-0.03,71,2.5
"183",183,0.56,25.8,1715.16,4270,0,96,2.3
"184",184,0.61,-0.7,2207.9,9381,-0.02,62,3
"185",185,0.99,18.1,1318.5,5016,-0.02,92,2.7
"186",186,0.52,6.6,527.37,8936,0.02,18,2.5
"187",187,0.72,-2,584.37,6029,-0.02,68,2.1
"188",188,0.76,14.5,2001.09,7281,-0.06,16,2.6
"189",189,0.76,0.1,1307.83,6268,-0.04,45,2.2
"190",190,0.98,7,2063.8,7246,-0.07,63,2
"191",191,0.63,-1.4,2287.3,5341,-0.06,99,2.2
"192",192,0.34,2.7,1828.63,7682,0.1,69,2.6
"193",193,0.13,6.6,1284.41,4414,-0.07,55,2.2
"194",194,0.7,20.3,1128.41,4456,0,52,2.2
"195",195,0.9,1.3,1838.33,8228,-0.01,39,2.9
"196",196,0.58,-2.6,867.87,4964,0.04,81,2.6
"197",197,0.05,13,1374.07,8981,-0.02,82,3
"198",198,0.92,5.3,2108.85,8870,0.02,38,2.8
"199",199,0.02,8.4,2095.02,9383,0.03,45,2
"200",200,0.17,-6.4,1416.04,9324,0.08,41,2.9
"201",201,0.33,1.1,1156.33,5608,-0.05,52,2.4
"202",202,0.18,29.3,553.3,6861,0.03,40,2.6
"203",203,0.85,0.2,1854.78,9245,-0.05,27,2.2
"204",204,0.8,18.1,1164.54,9209,0.01,78,2.6
"205",205,0.58,-6.1,2300.54,4557,-0.08,25,2.4
"206",206,0.28,20.1,621.12,6325,0.05,93,2.5
"207",207,0.58,-3,2333.24,4623,0.07,31,2.1
"208",208,0.03,5.5,1673.92,9937,0,99,2.1
"209",209,0.64,-9.5,1221.9,7575,0.07,91,2.6
"210",210,0.3,16.2,754.16,5306,0.05,92,2.6
"211",211,0.03,15,722.01,8288,-0.01,39,2.8
"212",212,0.47,0.7,2229.51,4659,-0.02,84,2.6
"213",213,0.2,-3.6,2323.65,6643,-0.07,25,2.5
"214",214,0.98,4.9,1778.92,7683,0.02,53,2.3
"215",215,0.8,5.4,2254.24,4166,-0.1,74,2.8
"216",216,0.19,8.3,1921.84,9255,0.01,90,2.4
"217",217,0.16,4.3,1680.04,6223,-0.01,73,2.1
"218",218,0.2,21.3,1012.67,9825,-0.07,54,3
"219",219,0.16,-8.1,2377.48,7275,0.02,83,2.8
"220",220,0.84,28.2,1769.31,7606,-0.08,29,2.5
"221",221,0.32,6.4,1282.52,9799,0.1,98,2.5
"222",222,0.74,25.3,1764.83,9297,0.04,64,2.8
"223",223,0.81,-8.6,2308.59,5856,0.07,44,2.6
"224",224,0.61,1,1030.35,5100,0.1,65,2.6
"225",225,0.26,6.4,877.52,7716,-0.05,55,2.2
"226",226,0.44,22.3,2272.95,5859,0.03,16,2.4
"227",227,0.86,-2.6,2045.72,8323,-0.07,36,2.5
"228",228,0.37,20.3,695.76,4945,-0.06,37,2.1
"229",229,0.18,16.1,1946.73,6541,-0.03,81,2.1
"230",230,0.45,14.2,2443.36,6650,-0.02,71,2.3
"231",231,0.18,27.6,2205.02,4768,-0.07,14,2.3
"232",232,0.56,-2.4,717.24,5921,0.04,94,2.4
"233",233,0.57,23.9,1644.43,6453,-0.08,49,2.8
"234",234,0.16,18.4,2089.92,9559,0.05,54,2.9
"235",235,0.54,23.8,1658.09,7508,0.02,54,3
"236",236,0.92,11.2,1492.32,4615,-0.02,96,2.3
"237",237,0.44,21.4,2157.45,4797,0.09,32,2.6
"238",238,0.95,14.5,1084.58,8571,-0.04,88,2.1
"239",239,0.85,-8.7,2055.41,9370,0.07,64,2.7
"240",240,0.47,3.6,539.22,6050,-0.1,25,2.7
"241",241,0.5,15.5,939.76,9180,-0.01,98,2.7
"242",242,0.7,12.9,1973.2,9117,0.03,66,2.8
"243",243,0.32,0.6,1032.55,7762,0.06,50,2
"244",244,0.76,-6.2,824.53,7619,-0.09,20,2.2
"245",245,0.32,2.7,1696.45,6335,0.02,80,2.2
"246",246,0.51,-7.9,855.01,6722,0,50,2.7
"247",247,0.1,2.8,1683.2,7453,0.02,29,2.8
"248",248,0.52,14.9,1430.99,8506,-0.03,99,2.8
"249",249,0.81,-3.4,1279.45,4680,-0.08,34,2.9
"250",250,0.34,29.4,2431.21,6687,-0.06,16,2.6
"251",251,0.39,8.6,2127.34,7657,0.07,39,2.3
"252",252,0.1,-0.2,2362.99,4364,0.02,68,2
"253",253,0.18,23.1,2287.07,4200,-0.06,24,2.5
"254",254,0.42,18.7,1888.72,7705,0.01,74,2.6
"255",255,0.54,7.3,2129.53,6463,0.04,11,2.7
"256",256,0.73,12.3,838.41,8182,-0.1,59,2.5
"257",257,0.09,5,1726.48,5703,-0.04,100,2.8
"258",258,0.57,-5.9,1830.23,6022,0.05,51,2.3
"259",259,0.26,4.3,2143.01,5568,0.02,76,2.3
"260",260,0.34,28.6,968.93,4928,0.01,86,2.8
"261",261,0.68,15.3,1053.84,9626,-0.01,70,2.7
"262",262,0.69,24.2,1290.86,4590,-0.1,64,2.6
"263",263,0.28,27,664.7,9481,0.04,58,2.8
"264",264,0.97,25,1328.89,8205,-0.01,20,2.7
"265",265,0,12.3,615,8359,0.09,12,2
"266",266,0.14,20.1,2008.85,8164,0.03,71,2.2
"267",267,0.91,12.3,1703.2,7319,0.07,35,2.8
"268",268,0.37,6.1,844.69,5615,0.02,32,3
"269",269,0.16,19.3,607.34,6464,0.05,86,2.9
"270",270,0.88,17.3,2270.09,8044,0.09,62,2.9
"271",271,0.2,1.4,866.51,9344,-0.04,23,2.7
"272",272,0.39,23.2,2039.55,5644,-0.05,96,2.3
"273",273,0.23,1,1285.9,9602,-0.03,74,2.1
"274",274,0.97,2.6,1206.83,5974,0.04,27,2.3
"275",275,0.55,13.3,838.1,6736,-0.08,70,2.9
"276",276,0.38,1.5,2100.2,6008,0.08,86,2.5
"277",277,0.89,-1.6,516.23,7327,0.08,33,2.7
"278",278,0.58,28.4,1486.02,7830,-0.05,87,2.4
"279",279,0.98,14.5,1739.01,8733,0.04,80,2.7
"280",280,0.87,-3.7,963.77,9291,0.06,61,2.3
"281",281,0.97,-4.7,2097.4,4218,-0.09,15,2.4
"282",282,0.46,6.4,914.02,5207,-0.07,62,2.9
"283",283,0.52,0.3,509.02,7369,-0.01,96,2.7
"284",284,0.84,12.8,2220.11,9053,0.05,88,2.5
"285",285,0.93,19.6,1597.33,5581,-0.1,63,2.4
"286",286,0.73,1,1209.42,5749,0.08,15,2.3
"287",287,0.05,12.3,1318.85,6937,0.05,46,2.1
"288",288,0.41,-8.8,590.32,9215,0.03,26,2
"289",289,0.86,12.5,831.1,5575,-0.07,91,2.2
"290",290,0.57,-8.9,1985.29,6870,0,83,2.9
"291",291,0.9,-9.2,1828.07,4694,0.06,74,2.4
"292",292,0.28,26.7,1866.52,7252,-0.02,43,2.1
"293",293,0.67,-1.9,2183.86,6422,-0.09,74,2.7
"294",294,0.78,-1.9,1679.57,4631,0.02,86,2.7
"295",295,0.54,22.9,1859.35,7394,-0.07,79,2
"296",296,0.15,11.7,1775.69,4586,-0.01,78,2.4
"297",297,0.17,-5.5,510.47,4831,0.09,65,2.9
"298",298,0.44,13.5,1755.32,4386,0.02,21,3
"299",299,0.49,-6.4,2313.05,7864,-0.06,72,2.7
"300",300,0.52,4.1,894.5,7278,0.03,46,2.1
"301",301,0.09,2.3,526.35,5623,-0.03,92,2.2
"302",302,0.38,7.7,1662.81,5233,-0.04,100,3
"303",303,0.41,17.6,825.02,7330,0.09,61,2.3
"304",304,0.66,6.8,2356.92,8645,0,72,2.8
"305",305,0.91,-9.5,755.7,9957,-0.02,88,2.5
"306",306,0.65,7.8,567.67,6851,0.08,86,2.2
"307",307,0.56,26.8,2235.67,7876,0.06,81,2.4
"308",308,0.29,-3,1433.02,6646,0,87,2.9
"309",309,0.24,11.2,1684.41,9711,0.09,57,2.8
"310",310,0.77,15.2,1051.87,4781,0.04,15,2.1
"311",311,0.38,28.2,760.88,7286,-0.04,95,2.8
"312",312,0.57,24.4,1387.02,7198,0.09,47,2.3
"313",313,0.5,27.5,718.31,7702,-0.03,86,2.9
"314",314,0.43,-1.8,1329.42,8531,-0.05,55,2.8
"315",315,0.42,7.4,2422.27,5346,0.08,83,2.9
"316",316,0.83,-3.6,516.74,6447,0.01,11,2.6
"317",317,0.99,-9.8,1883.01,7870,-0.01,84,2.4
"318",318,0.5,13.9,1224.27,8710,-0.05,62,2.7
"319",319,0.45,10.5,977.92,4478,-0.03,88,2.7
"320",320,0.91,20.7,2468.1,8128,-0.05,72,2
"321",321,0.79,21,2181.29,9096,0.02,42,2.8
"322",322,0.28,14.2,943.75,4993,0.05,17,2.7
"323",323,0.78,23,834.82,4448,0.03,32,2.9
"324",324,0.32,23.9,537.25,5491,-0.08,54,2.9
"325",325,0.43,26.8,2115.38,6192,-0.03,26,2.9
"326",326,0.27,6.7,1638.23,5375,0.09,11,2
"327",327,0.68,10.8,2326.84,9647,-0.01,80,2.8
"328",328,0.37,9.2,1155.97,6933,0.01,49,2.6
"329",329,0.06,21.2,2248.74,5595,0.01,12,2.4
"330",330,0.05,19.3,2046.29,4067,0.01,57,2.3
"331",331,0.73,14.7,1023.01,5425,0.02,45,2.7
"332",332,0.8,13.5,593.74,7689,0,31,2.1
"333",333,0.19,-4.4,506.3,8492,0.06,11,2.4
"334",334,0.6,-2.9,2003.67,5526,-0.05,74,2.4
"335",335,0.82,3.1,1232.72,5097,-0.01,15,2.6
"336",336,0.04,-9,645.03,7597,-0.09,31,2.4
"337",337,0.17,29.2,1648.84,5351,0.05,27,2.5
"338",338,0.7,6.5,1435.83,7690,0.09,95,2.2
"339",339,0.83,2.8,1007.02,8298,-0.02,24,2.4
"340",340,0.64,-4.5,624.14,7721,-0.05,66,2.9
"341",341,0.51,-0.1,1716.9,9135,-0.08,66,2.5
"342",342,0.68,-0.9,1272.71,4208,0.09,40,2.8
"343",343,0.67,-3.1,942,4960,-0.01,68,2.7
"344",344,0.25,-9.7,2195.81,5659,0.04,45,2
"345",345,0.2,23.2,782.15,9416,-0.06,58,2.7
"346",346,0.83,13.8,939.01,4969,0.07,65,2
"347",347,0.64,23,935.51,4305,0,66,2
"348",348,0.64,24,1341.14,9325,-0.09,35,2.9
"349",349,0.53,-2,1376.65,7824,-0.01,38,2.7
"350",350,0.4,24.3,572.35,5898,0.07,22,2.9
"351",351,0.46,-6.9,1401.19,6546,0.05,28,3
"352",352,0.87,25.7,2209.51,6771,-0.09,60,2.6
"353",353,0.74,12.7,1835.76,5552,0.03,23,2.5
"354",354,0.05,0.9,2216.22,6853,0.03,48,2.1
"355",355,0.57,5.7,2405.44,8159,0.02,41,2.6
"356",356,0.68,4.3,1346.53,4750,0.01,18,2.1
"357",357,0.66,6.2,2340.46,4130,-0.1,24,2.5
"358",358,0.72,19.6,1062.04,7437,0.04,68,2.2
"359",359,0.29,-9.7,821.35,4495,-0.08,55,2.3
"360",360,0.81,24.9,1723.26,8920,0.03,42,2.9
"361",361,0.44,24.8,1981.47,9348,-0.03,54,2
"362",362,0.73,24.7,2419.45,6623,-0.05,29,2.6
"363",363,0.39,25.5,1098.82,5451,0.08,33,2.1
"364",364,0.83,0.2,626.21,8971,-0.01,34,2.4
"365",365,0.92,6.3,2434.98,4363,-0.08,58,2.6
"366",366,0.13,8.1,2020.92,9178,-0.05,69,2.9
"367",367,0.63,-4.5,742.55,8584,-0.01,99,2.2
"368",368,0.3,29.8,2145.24,6431,0.06,56,2.5
"369",369,0.56,7.8,2168.8,8660,-0.03,42,2.2
"370",370,0.31,-1.2,1194.01,4019,0.03,17,2.7
"371",371,0.8,3.4,1471.84,9766,-0.03,81,2.1
"372",372,0.64,11.9,1069.47,4263,0.07,28,2.6
"373",373,0.14,17.8,2085.78,8269,0.06,61,2.4
"374",374,1,19.9,1176.04,4646,-0.09,20,2
"375",375,0.87,-4.5,1467.89,9426,0.06,71,2.1
"376",376,0.02,5.3,2152.57,8741,-0.04,59,2.1
"377",377,0.77,24.6,1427.68,7018,-0.05,92,2.5
"378",378,0.6,4.6,2459.69,5522,0.06,45,2.7
"379",379,0.34,-2.4,755.02,8569,-0.07,29,2.9
"380",380,0.7,16.3,1989.87,7354,0.05,46,2.1
"381",381,0.75,0.6,794.93,6892,-0.01,25,2.5
"382",382,0.28,15.8,676.65,4922,-0.08,58,2.7
"383",383,0.59,8.9,1557.76,4190,-0.05,63,2.5
"384",384,0.58,15.8,1627.56,9650,0.09,72,2.4
"385",385,0.86,26,763.16,8051,0.04,50,2.6
"386",386,0.88,29.2,1578.56,4220,-0.02,85,2.4
"387",387,0.81,16.4,2024.12,6743,-0.03,91,2.9
"388",388,0.16,15,1939.01,5414,-0.04,60,2.1
"389",389,0.1,25.4,2161.85,6727,-0.08,67,2.4
"390",390,0.41,9,576.73,8616,0.04,77,2.5
"391",391,0.9,18.7,2462.7,9154,0,34,2.2
"392",392,0.7,10.3,1525.47,5185,-0.02,19,2.2
"393",393,0.31,15.9,1250.74,4068,0.05,72,2.9
"394",394,0.15,14.8,2146.08,7120,-0.05,28,2.4
"395",395,0.21,13.8,578.82,5328,0.08,71,2.6
"396",396,0.9,22.1,2433.42,9166,-0.08,22,2.1
"397",397,0.24,3.8,1636.99,8717,-0.02,41,2.5
"398",398,0.48,0,1728.47,4183,0.03,38,2.5
"399",399,0.05,23.4,1357.42,9548,-0.02,58,2.4
"400",400,0.32,0.7,1458.12,8239,0.08,43,2.4
"401",401,0.63,22.5,2142.29,8979,0.04,51,2.5
"402",402,0.14,-7,1280.84,6583,0.05,27,2.6
"403",403,0.79,28.2,1508.16,9641,-0.06,43,2.9
"404",404,0.44,5.1,652.54,6180,0.06,12,2.3
"405",405,0.03,5.8,2259.41,6101,-0.05,12,2.4
"406",406,0.36,27.8,848.87,6603,-0.09,97,2.1
"407",407,0.28,1.7,1665.47,7152,-0.03,91,2.9
"408",408,0.25,11.1,2050.02,4950,-0.05,22,2.5
"409",409,0.98,3.9,1152.04,6391,0.06,60,2.6
"410",410,0.98,26.7,1829.69,4334,0.07,46,2.4
"411",411,0.98,12.5,2147.47,4494,-0.04,51,2.1
"412",412,0.93,0.6,861.95,6341,-0.03,21,2.9
"413",413,0.91,-9,1765.58,9007,-0.04,63,3
"414",414,0.03,9.3,1118.74,7872,-0.07,73,2.9
"415",415,0.26,29.3,1153.88,7528,-0.08,12,2.5
"416",416,0.51,12.7,1777.63,6900,0.07,74,2.3
"417",417,0.64,16.2,951.1,9825,0.04,79,2.5
"418",418,0.8,-6,2166.83,9393,0.08,42,2.5
"419",419,0.3,22,1773.03,8681,0.09,14,2.2
"420",420,0.79,19.3,680.43,5020,-0.01,41,2.7
"421",421,0.41,27.1,1417.25,5529,-0.02,35,2.5
"422",422,0.66,-1.9,1537.05,9638,-0.06,29,2.7
"423",423,0.59,-8,1576.78,8216,0.1,97,2.4
"424",424,0.02,-1.1,1783.96,4430,0.04,19,2.6
"425",425,0.81,13.1,1298.88,7709,-0.06,80,2.9
"426",426,0.08,22.7,1553.85,5642,0.05,28,2.2
"427",427,0.47,14.7,1436.03,6462,-0.08,72,2.2
"428",428,0.57,-9.7,1446.37,8828,0.07,36,2.6
"429",429,0.58,-7.9,1540.06,6648,0,93,2.1
"430",430,0.55,7.8,1322.24,7899,-0.05,16,2
"431",431,0.49,21.1,2120.06,5687,0.05,54,2.7
"432",432,0.69,14.6,2331.19,7133,-0.03,34,2.9
"433",433,0.12,13.5,1342.64,4796,-0.04,79,2.1
"434",434,0.62,13.3,504.27,5610,0.06,62,2.4
"435",435,0.44,28.3,2222.15,9505,0.04,53,2.8
"436",436,0.33,5.2,900.62,5118,-0.09,16,2.7
"437",437,0.37,28.3,1370.39,7084,-0.09,79,3
"438",438,0.84,28.3,1542.23,8034,0.01,52,2.5
"439",439,0.34,7.8,1870.14,6550,0.03,26,2.9
"440",440,0.25,10.2,2448.94,7010,-0.09,98,2.7
"441",441,0.26,-9.6,2016.59,4972,0.07,89,2.7
"442",442,0.66,-4.7,2299.25,8626,-0.03,27,2.7
"443",443,0.11,23.8,1255.6,4176,-0.06,51,2.3
"444",444,0.64,18.3,1357.68,8195,0,97,2.3
"445",445,0.44,29.1,1459.17,4882,-0.05,66,2.2
"446",446,0.53,-6.7,1135.01,5993,0.03,88,2.8
"447",447,0.82,7.5,1892.22,7778,-0.1,55,2.1
"448",448,0.28,20.7,2240.81,5844,0.09,38,2.7
"449",449,0.97,24.6,1489.37,8869,-0.04,16,2.7
