"","Case","l_sub","a_poly","b_poly","c_poly","c_star","t_star","r_sea","m_str","m_con","a_ppl","d_i","r_str","r_con","r_ppl","r","slr","rate_op1","rate_op2","rate_op3","rate_op4"
"33",33,0,0,3.53,0.064,13.93,51,0.89,0.03,0.1,-0.24,-0.08,-8e-04,8e-04,-0.003,0.079,0.6,41,35,67,35
"34",34,0,0,2.34,0.058,11.79,54,0.84,0.1,-0.08,-0.45,0.04,5e-04,-5e-04,0.005,0.064,0.8,30,25,25,31
"35",35,0,0,3.69,0.061,1.55,70,0.94,0.02,0.05,-0.03,-0.1,-8e-04,4e-04,0.002,0.083,0.22,42,40,45,40
"36",36,0,0,2.21,0.026,7.15,97,0.99,0.06,-0.09,0.24,0.1,0,3e-04,0.002,0.051,0.24,34,48,53,84
"37",37,0,0,3.05,0.031,14.46,92,0.96,0.05,0.09,-0.17,-0.01,-0.001,1e-04,-0.005,0.039,1.98,41,35,49,42
"38",38,0,0,2.7,0.031,13.34,88,0.83,-0.1,0,0.36,0.05,9e-04,-9e-04,0.003,0.058,1.73,26,42,36,93
"39",39,0,0,0.98,0.048,13.01,88,0.93,-0.1,0.04,-0.5,0.07,9e-04,-2e-04,-0.005,0.062,1.64,31,44,26,79
"40",40,0,0,3.29,0.005,11.89,89,0.89,0.02,0.04,0.2,-0.01,-2e-04,-6e-04,0,0.063,0.76,40,49,86,37
"41",41,0,0,2.15,0.002,8.13,35,0.91,0.07,-0.01,0.21,-0.09,9e-04,9e-04,0,0.06,1.02,29,49,66,91
"42",42,0,0,1.52,0.061,2.82,38,0.84,-0.02,0.04,0.46,-0.08,-2e-04,0,-0.002,0.035,1.1,27,27,40,60
"43",43,0,0,3.1,0.061,4.18,49,0.97,0,-0.08,-0.3,-0.03,3e-04,5e-04,-0.001,0.079,0.25,29,31,69,67
"44",44,0,0,1.39,-0.003,17.47,52,0.86,0.04,-0.07,-0.24,-0.01,2e-04,6e-04,-0.005,0.085,0.3,48,47,78,87
"45",45,0,0,3.5,0.036,14.37,56,0.81,0.07,0.04,-0.06,0.08,5e-04,-5e-04,0.002,0.089,0.29,46,28,26,39
"46",46,0,0,3.43,0.054,19.02,63,0.9,-0.09,0.04,0.27,-0.01,-9e-04,4e-04,0.002,0.092,1.89,29,34,78,90
"47",47,0,0,3.69,0.057,9.36,79,0.86,0,-0.02,-0.31,0.01,6e-04,7e-04,-0.001,0.047,0.74,37,32,90,91
"48",48,0,0,2.41,0.034,14.31,48,0.96,0.02,0.06,0.26,0.01,-9e-04,5e-04,0,0.042,0.88,44,25,47,79
"49",49,0,0,2.76,0.057,4.96,66,0.93,0.04,0.03,-0.21,-0.05,8e-04,8e-04,-0.004,0.052,1.88,39,38,53,73
"50",50,0,0,3.06,0.055,18.88,93,0.93,-0.02,0.06,-0.45,0.1,0,-9e-04,0.004,0.047,1.1,44,50,48,55
"51",51,0,0,3.49,0.009,1.58,71,0.92,0.08,-0.05,0.18,0.03,-1e-04,-5e-04,-0.001,0.056,1.97,31,26,78,60
"52",52,0,0,2.45,-0.004,4.75,94,0.83,0.07,0.08,-0.28,0.08,4e-04,-8e-04,0.001,0.035,0.35,43,33,31,72
"53",53,0,0,2,0.036,16.1,35,0.83,-0.02,-0.06,-0.23,0.04,2e-04,-8e-04,-0.005,0.067,0.75,35,41,30,48
"54",54,0,0,0.96,0.064,6.55,75,0.91,0,0.03,-0.04,-0.1,-8e-04,9e-04,0.005,0.047,0.91,35,35,54,29
"55",55,0,0,2.52,0.042,7.38,92,0.8,0.01,0.1,-0.48,-0.04,6e-04,-6e-04,-0.001,0.059,0.99,39,43,87,79
"56",56,0,0,2.69,0.02,7.94,64,0.9,-0.05,0.04,-0.24,-0.02,1e-04,-6e-04,0.005,0.075,1.71,44,47,86,70
"57",57,0,0,3.6,0.069,9.2,89,0.96,0.06,0.03,0.03,0.08,-5e-04,8e-04,-0.002,0.086,0.47,47,27,57,44
"58",58,0,0,2.82,0.065,5.68,92,0.88,0.04,0.01,0.15,0.01,-6e-04,-4e-04,0.004,0.042,0.55,27,40,91,38
"59",59,0,0,1.72,0.042,2.61,77,0.87,0.1,0.08,0.29,-0.08,8e-04,3e-04,-0.003,0.064,1.19,33,31,56,88
"60",60,0,0,2.67,0.063,1.43,84,0.85,-0.04,-0.07,-0.31,0.05,-6e-04,2e-04,0.004,0.078,1.23,34,33,38,77
"61",61,0,0,3.3,0.023,12.33,65,0.99,-0.03,0,0.09,0.04,-6e-04,-0.001,0,0.052,1.49,31,49,89,38
"62",62,0,0,1.53,0.065,3.24,62,0.96,-0.09,-0.07,0.48,0.05,9e-04,5e-04,-0.001,0.072,1.53,48,39,76,86
"63",63,0,0,1.85,0.054,0.84,36,0.95,0.01,0,-0.04,0.01,-4e-04,-4e-04,-0.002,0.054,0.63,33,45,26,74
"64",64,0,0,1.4,0.013,18.83,86,0.98,0.07,-0.01,-0.23,0.05,-9e-04,4e-04,0.004,0.06,1.96,43,45,33,41
"65",65,0,0,1.14,0.051,7.83,97,0.89,-0.06,0.1,-0.41,-0.05,9e-04,7e-04,0.001,0.082,0.03,33,30,40,67
"66",66,0,0,2.66,0.01,1.38,55,0.9,-0.09,-0.08,0.47,0.1,6e-04,-5e-04,-0.003,0.035,1.48,40,26,67,62
"67",67,0,0,3.74,0.013,13.82,75,0.87,-0.05,0.05,0.38,0.02,-6e-04,3e-04,-0.004,0.043,0.34,50,48,77,52
"68",68,0,0,3.43,0.028,5.18,63,0.91,0.03,-0.04,-0.35,-0.09,-7e-04,-8e-04,0,0.087,0.48,37,31,27,58
"69",69,0,0,2.8,0.02,7.88,39,0.88,0.06,-0.04,-0.31,0,-4e-04,-8e-04,-0.001,0.065,0.38,38,38,81,68
"70",70,0,0,1.85,0.031,6.83,96,0.87,0.06,0.06,-0.39,0.04,5e-04,-9e-04,-0.002,0.038,0.56,33,47,63,44
"71",71,0,0,1.45,0.028,18.26,49,0.9,-0.06,-0.05,-0.27,-0.03,5e-04,-9e-04,0.003,0.079,1.22,49,41,51,65
"72",72,0,0,2.45,0.057,4.35,40,0.86,-0.1,-0.03,-0.19,-0.08,-8e-04,-2e-04,0.004,0.093,0.45,42,25,29,36
"73",73,0,0,2.89,0.04,10.12,89,0.85,-0.1,-0.07,0.16,-0.01,-8e-04,-4e-04,0.005,0.064,0,29,36,79,42
"74",74,0,0,1.91,-0.005,3.06,64,0.83,0,0.05,0.1,0.04,6e-04,6e-04,-0.003,0.051,0.8,38,30,90,41
"75",75,0,0,2.33,0.024,12.96,52,0.99,-0.02,0.04,0.47,0.08,-0.001,-6e-04,0.004,0.046,0.77,48,37,52,46
"76",76,0,0,2.89,0.061,6.24,40,0.89,-0.06,0.03,-0.18,0.02,-2e-04,3e-04,-0.001,0.086,1.33,32,38,83,38
"77",77,0,0,3.62,0.02,12.33,94,0.9,-0.03,-0.05,0.32,0,3e-04,2e-04,-0.003,0.073,0.07,46,38,45,65
"78",78,0,0,3.41,0.039,14.05,44,0.95,0.03,-0.06,0.42,-0.05,-4e-04,8e-04,0.003,0.031,0.88,46,41,45,89
"79",79,0,0,3.49,0.006,11.55,72,0.93,-0.05,0.03,-0.01,0.07,3e-04,8e-04,-0.005,0.089,1.91,48,48,82,62
"80",80,0,0,1.78,0.069,13.47,100,0.93,0,0.07,-0.32,-0.09,6e-04,4e-04,-0.004,0.096,0.88,36,48,37,87
"81",81,0,0,3.59,0.054,15.84,55,0.88,0.09,-0.01,-0.32,0.05,-7e-04,4e-04,-0.004,0.094,0.74,47,46,44,50
"82",82,0,0,1.16,0.064,5.24,76,0.89,-0.03,0.05,-0.48,-0.01,-2e-04,8e-04,-0.003,0.095,1,46,39,70,61
"83",83,0,0,3.09,0.05,19.76,50,0.92,0.06,-0.04,-0.49,-0.04,-5e-04,3e-04,0.001,0.077,0.35,40,43,36,42
"84",84,0,0,1.9,0.04,4.14,92,0.9,-0.07,0.01,0.03,-0.02,2e-04,2e-04,0,0.035,1.13,32,32,81,74
"85",85,0,0,2.88,0.062,18,38,0.87,0.08,-0.07,0.49,0.02,5e-04,-3e-04,0.004,0.075,0.27,42,28,51,32
"86",86,0,0,2.22,0.053,13.8,54,0.9,0.05,-0.06,0.2,0.07,0,4e-04,0.002,0.079,0.34,40,48,90,73
"87",87,0,0,1.1,0.014,16.84,95,0.99,0.07,0.09,0.13,-0.09,-6e-04,-2e-04,-0.001,0.086,1.61,38,36,46,49
"88",88,0,0,3.12,0.027,7.18,61,0.93,0.05,-0.07,0.03,-0.02,4e-04,-1e-04,0.001,0.063,0.99,32,48,52,91
"89",89,0,0,3.09,0.04,3.66,43,0.8,0.03,-0.08,0.28,0.1,9e-04,4e-04,0,0.051,0.3,34,33,33,87
"90",90,0,0,1.78,0.012,15.24,91,0.96,-0.08,0.02,-0.11,-0.03,-7e-04,-7e-04,0.004,0.073,0.67,38,30,36,30
"91",91,0,0,2.61,0.06,3.61,70,0.82,-0.01,-0.06,-0.48,0.05,1e-04,-2e-04,-0.002,0.039,0.44,27,31,82,79
"92",92,0,0,1.57,0.017,3.12,52,0.94,0.1,0.01,-0.41,0.04,0,1e-04,0.004,0.04,1.75,39,49,69,68
"93",93,0,0,3.3,0.051,9.62,50,0.85,-0.06,0.06,0.19,-0.1,1e-04,0.001,0.003,0.048,0.29,37,40,42,35
"94",94,0,0,2.44,0.004,10.47,97,0.81,0.09,-0.01,0.42,-0.04,-8e-04,3e-04,-0.001,0.086,0.06,44,26,38,30
"95",95,0,0,2.86,0.027,13.97,87,0.91,0.06,0.04,-0.38,-0.02,-1e-04,-9e-04,-0.001,0.058,1,38,31,83,53
"96",96,0,0,1.84,0.004,1.78,87,0.89,0.01,0.01,0.25,-0.02,9e-04,-2e-04,0,0.095,0.02,49,40,40,39
"97",97,0,0,1.48,0.059,18.21,96,0.97,-0.09,-0.04,0.21,0.04,2e-04,1e-04,0.003,0.093,0.62,31,27,33,67
"98",98,0,0,2.69,0.059,1.68,51,0.85,0.06,0.02,-0.29,0.02,8e-04,-1e-04,0.004,0.043,1.48,25,48,29,68
"99",99,0,0,1.74,0.043,11.19,84,0.95,-0.04,-0.04,0.06,0.02,-5e-04,-3e-04,0,0.078,1.79,47,36,42,92
"100",100,0,0,2.11,0.022,15.2,89,0.85,-0.02,-0.09,0.33,0.03,4e-04,1e-04,-0.004,0.078,1.87,33,25,73,62
"101",101,0,0,2.07,0.068,10.83,91,0.81,-0.06,0,0.13,-0.03,6e-04,3e-04,0.002,0.038,1.56,43,26,75,70
"102",102,0,0,2.87,0.016,6.01,36,0.84,-0.08,0.03,0.17,0.04,-9e-04,-9e-04,-0.003,0.047,1.25,34,25,41,37
"103",103,0,0,3.63,0.041,3.92,100,0.88,-0.01,0.08,-0.36,-0.02,-1e-04,-6e-04,0.003,0.037,1.75,42,48,44,43
"104",104,0,0,3.48,0.053,19.85,99,0.86,-0.02,-0.01,0.16,-0.05,-7e-04,3e-04,0.004,0.045,1.59,45,36,44,89
"105",105,0,0,3,-0.002,9.34,68,0.95,-0.06,-0.09,0.35,0.08,0,6e-04,0,0.095,1.41,27,32,70,50
"106",106,0,0,3.07,0.044,4.96,50,1,-0.03,0.01,0.5,0.07,-9e-04,-5e-04,0.001,0.04,0.96,40,43,78,95
"107",107,0,0,1.78,0.063,13.6,63,0.8,-0.06,0.01,-0.45,-0.02,-5e-04,4e-04,-0.002,0.061,1.14,26,30,27,54
"108",108,0,0,2.62,0.067,18.11,80,0.9,0.08,-0.01,0.3,0.02,-6e-04,6e-04,-0.003,0.073,0.44,42,28,80,37
"109",109,0,0,1.75,0.067,6.42,92,0.91,0.01,-0.01,-0.32,0.06,-3e-04,-8e-04,0,0.085,0.7,42,41,91,36
"110",110,0,0,2.4,0.047,18.64,61,0.89,-0.03,-0.07,-0.08,0.06,5e-04,-1e-04,-0.005,0.099,0.15,30,31,77,92
"111",111,0,0,1.05,0.048,1.06,56,0.99,-0.03,0.01,-0.09,0.03,-7e-04,8e-04,-0.004,0.089,0.73,42,37,62,31
"112",112,0,0,3.44,0.01,16.58,68,0.94,0.01,0.07,-0.38,0.08,-5e-04,7e-04,-0.002,0.076,0.94,46,31,29,93
"113",113,0,0,1.04,0.061,16.83,55,0.97,-0.05,-0.01,0.44,0.06,-4e-04,-5e-04,-0.001,0.083,0.16,40,32,36,26
"114",114,0,0,1.34,0.029,4.66,43,0.95,0.03,0.05,-0.44,0.01,2e-04,3e-04,-0.003,0.047,1.26,37,28,86,93
"115",115,0,0,3.4,0.03,6.72,82,0.87,-0.09,-0.08,-0.17,0.05,9e-04,-7e-04,0.003,0.077,0.42,48,48,54,86
"116",116,0,0,1.1,0.04,16.42,84,0.85,-0.01,-0.04,0.1,-0.07,8e-04,4e-04,0.004,0.066,1.09,27,47,93,77
"117",117,0,0,1.91,0.064,0.33,90,0.83,0.07,0.06,0.12,0.07,7e-04,0,-0.001,0.039,1.89,43,28,68,75
"118",118,0,0,2,0.066,12.93,45,0.83,0.01,-0.01,0.27,-0.04,-5e-04,-4e-04,-0.004,0.095,1.4,42,33,33,48
"119",119,0,0,2.12,0.033,1.97,73,0.92,-0.04,-0.01,-0.15,0,-9e-04,-9e-04,-0.002,0.082,1.48,29,35,48,79
"120",120,0,0,0.9,0.049,16.06,86,0.93,0.04,0.06,-0.15,0.09,6e-04,-1e-04,0.003,0.049,0.3,38,32,57,66
"121",121,0,0,3.12,0.059,9.8,89,0.92,-0.08,-0.09,0.17,0,-5e-04,-0.001,-0.004,0.045,0.67,34,47,93,43
"122",122,0,0,1.15,0.003,14.21,94,1,0,-0.08,0.37,0.01,-0.001,-0.001,0.002,0.066,1.81,30,34,92,55
"123",123,0,0,3.07,0.01,7.91,56,0.93,0.04,0.06,-0.24,-0.09,7e-04,6e-04,-0.002,0.042,0.86,31,47,31,95
"124",124,0,0,2.28,0.053,8.93,39,0.97,0.06,0.02,0.19,0.04,-9e-04,-7e-04,0.004,0.064,0.77,33,31,40,65
"125",125,0,0,2.52,0.032,16.52,61,0.91,-0.03,0.05,-0.49,-0.04,2e-04,5e-04,0.004,0.074,1.06,31,41,82,42
"126",126,0,0,1.91,0.023,9.14,91,0.94,-0.05,0.08,0.09,0.02,1e-04,0,0.001,0.054,1.05,32,34,86,35
"127",127,0,0,1.5,0.049,3.14,73,0.89,0.09,-0.1,-0.22,-0.04,0.001,2e-04,-0.003,0.075,0.42,43,27,83,62
"128",128,0,0,1.83,0.042,1.63,86,0.81,0.09,0.09,0.13,0.08,4e-04,6e-04,0.002,0.072,0.75,47,35,49,61
"129",129,0,0,3.24,0.068,18.82,56,0.85,0.1,0.09,0.05,-0.01,2e-04,4e-04,0.004,0.039,0.82,47,34,65,58
"130",130,0,0,2.07,0.049,3.28,36,0.83,0.01,-0.05,-0.14,0.01,-5e-04,-9e-04,-0.003,0.074,0.11,38,43,48,63
"131",131,0,0,1.62,0.011,4.1,33,0.94,0.01,-0.08,-0.39,0.09,-8e-04,0,0.001,0.065,1.35,34,29,38,68
"132",132,0,0,1.84,0.059,12.29,38,0.9,-0.01,-0.05,0.43,0.01,-6e-04,4e-04,0.002,0.092,1.35,43,28,74,79
"133",133,0,0,1.47,0.046,19.79,45,0.94,0.06,0.08,-0.43,0.06,2e-04,1e-04,0.002,0.065,0.24,44,37,56,27
"134",134,0,0,2.75,0.013,18.49,61,0.99,0.09,-0.05,-0.17,0.01,4e-04,-2e-04,-0.003,0.072,1.9,43,50,53,34
"135",135,0,0,1.56,0.062,17.61,58,0.9,0,0.03,0.34,-0.02,7e-04,0.001,0.002,0.056,1.3,46,33,28,65
"136",136,0,0,2.98,0.059,1.9,67,0.87,-0.01,-0.02,-0.16,0.02,-1e-04,5e-04,0.005,0.042,1.01,34,28,36,72
"137",137,0,0,3.35,0.047,8.17,91,0.88,-0.05,0.07,-0.39,-0.01,-6e-04,-7e-04,0.001,0.076,1.92,28,45,72,67
"138",138,0,0,1.34,0.021,13.46,65,0.93,-0.05,-0.02,0.47,0.08,-4e-04,0,0.002,0.044,1.64,37,43,89,26
"139",139,0,0,1.41,0.064,3.54,73,0.96,-0.01,-0.04,-0.23,-0.07,-4e-04,4e-04,-0.004,0.089,1.09,31,40,72,95
"140",140,0,0,2.05,0.018,16.89,83,0.93,0.06,-0.05,0.02,-0.02,3e-04,-6e-04,0.001,0.046,0.33,36,38,38,33
"141",141,0,0,2.01,0.028,8.1,59,0.8,0,-0.02,0.33,-0.04,5e-04,5e-04,0.004,0.071,0.37,34,41,27,72
"142",142,0,0,0.93,0.042,9.6,36,0.97,0.04,-0.02,0.21,-0.01,-3e-04,-3e-04,-0.002,0.044,1.4,48,49,74,34
"143",143,0,0,3.32,0.046,5.01,77,0.81,0.09,-0.06,-0.2,0.02,8e-04,2e-04,0.002,0.052,0.21,37,50,37,62
"144",144,0,0,3.23,0.026,17.88,53,0.95,-0.04,-0.08,0.18,0.02,-5e-04,-7e-04,-0.002,0.084,1.46,47,26,84,78
"145",145,0,0,1.76,0.021,8.09,36,0.97,-0.09,0.01,0.41,-0.09,4e-04,-7e-04,0.002,0.036,0.49,45,26,88,88
"146",146,0,0,2.57,0.033,9.05,76,0.95,0.05,-0.06,0.1,0.01,5e-04,-6e-04,0.003,0.054,0.1,44,46,52,76
"147",147,0,0,1.96,0.033,5.51,36,0.82,0.01,-0.02,-0.15,0.09,-6e-04,-5e-04,0,0.075,0.46,49,29,69,69
"148",148,0,0,3.67,0.006,4.07,83,0.88,0.04,0.05,-0.32,0.07,7e-04,9e-04,0.002,0.087,1.49,28,29,80,53
"149",149,0,0,3.1,0.057,7.06,75,0.96,0.05,0.02,0.2,0.06,5e-04,-2e-04,0,0.063,1.66,34,28,40,59
"150",150,0,0,2.32,0.03,9.9,51,0.92,0.09,0.08,0.29,0.07,1e-04,-0.001,0.005,0.077,1.07,47,42,40,83
"151",151,0,0,3.48,0.048,10.89,37,0.86,-0.06,-0.01,0.37,-0.02,-8e-04,2e-04,-0.002,0.094,0.64,32,35,79,85
"152",152,0,0,1.01,0.035,17.93,62,0.98,-0.05,0.03,-0.04,0.03,4e-04,1e-04,-0.004,0.061,0.43,45,43,79,81
"153",153,0,0,2,0.058,5.7,97,1,0.07,0.08,-0.25,0.07,3e-04,-5e-04,0.002,0.046,1.9,44,33,61,41
"154",154,0,0,3.79,0.054,13,62,0.91,-0.02,-0.05,0.11,-0.02,4e-04,8e-04,-0.005,0.086,0.52,29,36,56,78
"155",155,0,0,1.83,0.052,8.67,52,0.83,-0.08,-0.06,0.38,-0.02,-8e-04,-9e-04,-0.003,0.08,1.55,28,31,61,46
"156",156,0,0,1.78,0.039,13.83,81,0.94,0.02,0.07,-0.49,-0.05,-3e-04,5e-04,-0.001,0.084,0.41,45,47,66,26
"157",157,0,0,2.22,0.047,19.47,56,0.94,0.07,0.04,0.21,0.07,-2e-04,-3e-04,0.003,0.07,0.93,25,34,73,65
"158",158,0,0,2.09,-0.003,14.51,94,0.86,0.06,-0.03,-0.46,0.07,0.001,-4e-04,0.001,0.054,0.85,35,30,81,56
"159",159,0,0,3.56,0.052,6.08,62,0.87,-0.09,-0.08,-0.02,0.1,0,-4e-04,-0.001,0.039,1.37,44,36,86,89
"160",160,0,0,2.69,0.052,8.41,68,0.91,0.08,-0.01,0.11,0.05,-9e-04,7e-04,-0.002,0.064,0.76,42,36,68,61
"161",161,0,0,1.37,0.055,1.34,90,0.84,0.01,-0.02,0.06,0,6e-04,7e-04,0.003,0.079,1.09,32,26,30,50
"162",162,0,0,2.26,0.057,6.31,90,0.9,0.06,0.07,-0.37,0.09,-7e-04,8e-04,-0.002,0.057,0.75,27,34,36,57
"163",163,0,0,1.26,0.016,13.64,89,0.89,0.03,-0.06,-0.41,-0.09,9e-04,2e-04,0.005,0.086,0.54,35,40,78,34
"164",164,0,0,2.75,0.058,4.62,63,0.93,-0.07,0.02,0.17,-0.1,3e-04,3e-04,-0.002,0.051,0.95,48,36,55,78
"165",165,0,0,2.17,0.021,8.68,46,0.86,-0.09,-0.05,-0.44,-0.03,-5e-04,1e-04,-0.003,0.073,1.67,27,42,34,80
"166",166,0,0,3.78,0.046,3.45,38,0.85,-0.07,0,-0.08,-0.03,9e-04,4e-04,-0.003,0.044,0.2,48,28,91,91
"167",167,0,0,3.12,0.07,12.29,36,0.89,0,0.04,0.11,-0.09,9e-04,6e-04,0.001,0.053,1.72,46,48,61,79
"168",168,0,0,1.78,0.007,1.7,83,0.84,0.03,-0.05,-0.07,0.03,6e-04,3e-04,0.003,0.03,0.94,28,44,84,52
"169",169,0,0,3.22,0.046,15.22,85,0.98,-0.02,0.01,0.45,-0.07,9e-04,6e-04,0.005,0.045,1.42,35,49,45,93
"170",170,0,0,1.2,0,5.91,57,0.86,-0.09,0.01,-0.46,0,6e-04,-4e-04,0.004,0.07,1.95,40,35,64,89
"171",171,0,0,2.94,0.002,0.12,61,0.82,0.06,-0.07,-0.46,0.02,2e-04,-5e-04,0.003,0.038,0.74,29,47,47,82
"172",172,0,0,1.82,0.068,8.68,62,0.87,-0.01,-0.1,0.13,0.09,-8e-04,5e-04,0,0.078,0.13,27,49,74,81
"173",173,0,0,1.26,0.04,8.85,95,0.89,-0.02,-0.08,0.31,0.05,-9e-04,-7e-04,-0.005,0.096,1.33,38,45,31,45
"174",174,0,0,1.63,0.009,9.58,69,0.99,-0.01,0.04,0.4,0.04,0.001,2e-04,0.001,0.041,0.75,47,30,48,26
"175",175,0,0,1.28,0.005,4.23,73,0.81,0.06,0.08,-0.15,-0.03,-8e-04,8e-04,0.001,0.064,0.27,43,26,73,79
"176",176,0,0,2.13,-0.001,5.4,35,0.86,-0.05,-0.04,0.27,0,8e-04,-3e-04,-0.005,0.04,1.57,32,37,52,46
"177",177,0,0,2.14,0.017,7.12,83,0.99,0.08,-0.04,0.3,-0.09,-4e-04,-7e-04,0.004,0.083,0.21,44,41,32,26
"178",178,0,0,3.63,0.058,10.74,82,0.89,0.04,0.02,0.06,-0.09,4e-04,6e-04,0.003,0.067,0.36,35,40,48,91
"179",179,0,0,3.11,0.025,1.07,73,0.82,-0.03,-0.07,0.41,0.04,9e-04,-3e-04,-0.002,0.082,0.26,41,45,39,34
"180",180,0,0,1.23,0.065,12.65,55,0.81,-0.09,-0.07,-0.45,-0.06,-1e-04,-6e-04,0,0.095,0.22,48,32,52,35
"181",181,0,0,3.72,0.039,13.02,79,0.89,0.06,-0.06,0.34,0.09,-9e-04,4e-04,-0.003,0.091,0.51,43,27,45,61
"182",182,0,0,1.49,0.051,12.74,78,0.9,-0.01,-0.09,0.34,-0.05,1e-04,9e-04,0,0.098,1.3,42,30,46,82
"183",183,0,0,2.66,-0.003,10.14,97,0.85,0.09,0.01,0.3,0.09,3e-04,-5e-04,-0.003,0.033,0.99,29,43,31,54
